step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
63,0.9633329510688782,Solve_Succeeded,MPC,19,"[[0.02641775730530147, 0.023954773594562634], [0.003633022778236633, 0.02057483151334674], [0.0038272425197347377, 0.011954724801527483]]","[0.9696416258811951, 0.9703035950660706, 0.9708656072616577]"
64,0.9695174694061279,Solve_Succeeded,MPC,18,"[[0.024595423000236934, 0.03206556165256506], [0.0037919250560738494, 0.023510807876521156], [0.003643590743684113, 0.014821110103186397]]","[0.9700078368186951, 0.970457911491394, 0.9708957672119141]"
65,0.9704439640045166,Solved_To_Acceptable_Level,MPC,11,"[[0.022803762904252383, 0.0509176407365614], [0.0036748050798428885, 0.028098349567499615], [0.0035656728719292673, 0.011495380514906697]]","[0.9701582193374634, 0.9705064296722412, 0.9710150957107544]"
66,0.970766544342041,Solved_To_Acceptable_Level,MPC,17,"[[0.021443657236657893, 0.060289206437077476], [0.003874719344730871, 0.04517938029160546], [0.0034710336379286575, 0.02544256576501283]]","[0.9702441096305847, 0.970405638217926, 0.9706776738166809]"
67,0.970906138420105,Solve_Succeeded,MPC,16,"[[0.019969407170801916, 0.0734202937575451], [0.0035999047998061147, 0.05192066466602013], [0.003761887469822507, 0.02785839843378224]]","[0.9702644348144531, 0.9702735543251038, 0.9704732894897461]"
68,0.9709999561309814,Solved_To_Acceptable_Level,MPC,11,"[[0.01889925068898516, 0.08488516210919211], [0.00350278827425264, 0.058336772436136365], [0.0036970759745205985, 0.029531880804137104]]","[0.9701446294784546, 0.9700722098350525, 0.970206618309021]"
69,0.9708924889564514,Solve_Succeeded,MPC,12,"[[0.017705557915058304, 0.09270012126494366], [0.0036414437995054526, 0.062448640349345746], [0.003572341397869312, 0.03126990466982518]]","[0.9700101017951965, 0.9698449373245239, 0.9698985815048218]"
70,0.9706509709358215,Solved_To_Acceptable_Level,MPC,11,"[[0.017020979223496015, 0.09867748345683997], [0.003637084557358118, 0.06568948145260123], [0.0035101153298153836, 0.032653170537984354]]","[0.9697006344795227, 0.9694169759750366, 0.9693952798843384]"
71,0.9703118801116943,Solve_Succeeded,MPC,13,"[[0.016720274818074192, 0.1002036403816159], [0.003582616939021665, 0.06563317423147537], [0.003676626882929855, 0.031735374425868976]]","[0.9692786931991577, 0.9688934087753296, 0.9687509536743164]"
72,0.9699894785881042,Solved_To_Acceptable_Level,MPC,10,"[[0.01645920981571214, 0.09849163295214873], [0.0035011356577349037, 0.06511837205237621], [0.003398303242109065, 0.042658199520427154]]","[0.9688016772270203, 0.96830153465271, 0.9680333137512207]"
73,0.9695223569869995,Solved_To_Acceptable_Level,MPC,15,"[[0.016545923287087812, 0.09861316234998166], [0.002838896773745675, 0.06414951330376092], [0.0034710843342828997, 0.03103230459755986]]","[0.9681373834609985, 0.9676318764686584, 0.9674766063690186]"
74,0.9689922332763672,Solved_To_Acceptable_Level,MPC,11,"[[0.015550955667670266, 0.09752711410853966], [0.0034785511060879135, 0.06264492826414488], [0.0038116286503923754, 0.030238892997981555]]","[0.9674757122993469, 0.9669857025146484, 0.9668099284172058]"
75,0.9683812260627747,Solve_Succeeded,MPC,10,"[[0.015623088676882493, 0.09460025674652019], [0.0036511542952426513, 0.0601066180798466], [0.0035653612693809867, 0.02808142859964865]]","[0.9668900966644287, 0.9664388298988342, 0.9663004875183105]"
76,0.9676814675331116,Solved_To_Acceptable_Level,MPC,11,"[[0.016044025585864784, 0.08949368271576166], [0.003487973248678057, 0.05659237304038261], [0.0037769695656613227, 0.026598310502832838]]","[0.966314971446991, 0.9659131765365601, 0.9657560586929321]"
77,0.967059850692749,Solve_Succeeded,MPC,11,"[[0.015909172568862883, 0.08417315513254008], [0.0035152535516980382, 0.052793006938620754], [0.0036683941455686797, 0.024267205709901707]]","[0.9657949209213257, 0.9653706550598145, 0.9651489853858948]"
78,0.9665172696113586,Solved_To_Acceptable_Level,MPC,9,"[[0.01590202453656971, 0.07705031101311538], [0.004103421437324481, 0.04067398264893794], [0.003273745656365044, 0.009539307602697864]]","[0.9652937650680542, 0.9648725986480713, 0.9647955894470215]"
79,0.9659692049026489,Solve_Succeeded,MPC,14,"[[0.015918582758556864, 0.07216735770106178], [0.0035656704178699673, 0.044681812395563424], [0.003583777612781715, 0.021685302947602587]]","[0.9646614193916321, 0.9641757607460022, 0.9639416337013245]"
80,0.96544349193573,Solved_To_Acceptable_Level,MPC,9,"[[0.016078231023571306, 0.0643864047752316], [0.003650797161460871, 0.032853313911596946], [0.0035031055371692434, 0.007273644266959088]]","[0.9640764594078064, 0.9636994004249573, 0.9636078476905823]"
81,0.9650120735168457,Solve_Succeeded,MPC,13,"[[0.015889065080086247, 0.058072431029680266], [0.0035035786135611934, 0.03747217663857267], [0.003688138924421886, 0.016662573391926932]]","[0.9635535478591919, 0.9630969166755676, 0.9628495573997498]"
82,0.9645214676856995,Solved_To_Acceptable_Level,MPC,9,"[[0.015917763463818974, 0.04722355322494484], [0.003976963310071151, 0.022404393942929927], [0.0034453893872951223, 0.0016496010962351274]]","[0.9630813598632812, 0.9627566337585449, 0.9626280069351196]"
83,0.9640355706214905,Solved_To_Acceptable_Level,MPC,9,"[[0.016018914849115256, 0.03904024483948601], [0.004343925553875815, 0.015320445531557541], [0.002817497666636887, 0.0020679584477684234]]","[0.9626441597938538, 0.962332546710968, 0.9620983600616455]"
84,0.9635712504386902,Solve_Succeeded,MPC,13,"[[0.016127875347774854, 0.0434368539875618], [0.0036030797735497003, 0.025800195782773844], [0.0035200804589658992, 0.011737648479498161]]","[0.9621126651763916, 0.961552619934082, 0.96095871925354]"
85,0.9629522562026978,Solve_Succeeded,MPC,14,"[[0.016073785530117245, 0.03813330493402656], [0.003507165435639931, 0.023064244111414046], [0.003694413907507999, 0.009743907385508658]]","[0.9614537358283997, 0.9606841206550598, 0.9596961140632629]"
86,0.9622891545295715,Solve_Succeeded,MPC,14,"[[0.016003602362094117, 0.03218021983204639], [0.0035927334080953573, 0.018747236814750226], [0.0035459844852807243, 0.008115463358740214]]","[0.960576593875885, 0.9594099521636963, 0.9577759504318237]"
87,0.9615254402160645,Solved_To_Acceptable_Level,MPC,6,"[[0.0162353528803457, 0.021526164535802243], [0.0032769854334328864, 0.010961909757419223], [0.004121969600455443, 0.0026277127578355013]]","[0.9593347311019897, 0.9576266407966614, 0.955367386341095]"
88,0.9605363011360168,Solved_To_Acceptable_Level,MPC,6,"[[0.01607751727575858, 0.015131413687062523], [0.0033101273888318967, 0.006521329985711625], [0.004422816858469663, 0.0021526114837826854]]","[0.9573331475257874, 0.9550859928131104, 0.9510025978088379]"
89,0.9588932991027832,Solved_To_Acceptable_Level,MPC,6,"[[0.016055978125656064, 0.01096335378997613], [0.003291779130392596, 0.005351128676528484], [0.004428808158215196, 0.0016890641783677556]]","[0.9548833966255188, 0.95051509141922, 0.9434424638748169]"
90,0.9566680192947388,Solved_To_Acceptable_Level,MPC,6,"[[0.016108279369434184, 0.009553720742704485], [0.0032056097317323673, 0.004586827885322313], [0.0045731704550693785, 0.0013781174605463505]]","[0.9501046538352966, 0.942808210849762, 0.9265979528427124]"
91,0.9533037543296814,Solved_To_Acceptable_Level,MPC,11,"[[0.015640389498774335, 0.02871290547199451], [-0.0006191267520816977, 0.017308441253654265], [0.013601248892478573, -0.19812777415027968]]","[0.9417384266853333, 0.9225175976753235, 0.8943637609481812]"
92,0.9465124607086182,Solved_To_Acceptable_Level,MPC,8,"[[0.00994026877798993, 0.05536258851425426], [0.00965034721711106, -0.246396404688613], [0.012477539524789014, -0.24482483836761057]]","[0.9187229871749878, 0.8902833461761475, 0.8613502979278564]"
93,0.9343031048774719,Solved_To_Acceptable_Level,MPC,11,"[[0.018134416879901156, -0.2557731385937007], [0.004766453493608709, -0.34412345243171033], [0.03019603034841049, -0.42397747669669567]]","[0.893796443939209, 0.8644789457321167, 0.8304910063743591]"
94,0.9130145311355591,Solve_Succeeded,MPC,21,"[[0.02394262281349544, -0.425864231925689], [0.01306412944397128, -0.41539995684560227], [0.0004710712307472933, -0.23292790740598748]]","[0.8621372580528259, 0.827012300491333, 0.7917769551277161]"
95,0.8885641098022461,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[0.27121607681247434, -0.511570668623094]",[0.9759714603424072]
96,0.9000634551048279,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[-0.01521510131798862, 0.057492957942878564]",[0.7758510708808899]
97,0.8689554333686829,Solved_To_Acceptable_Level,MPC,35,"[[-0.20294130668428143, -0.3211918015829982], [-0.028158055661571476, 0.2921130777278202], [0.016583123451725648, -0.17226688094140696]]","[0.8519318103790283, 0.8508310914039612, 0.8247359991073608]"
98,0.894620954990387,Solved_To_Acceptable_Level,MPC,20,"[[-0.003250097086782656, -0.168125837561368], [-0.009784541710216567, 0.30418600684988967], [0.002953518900375789, 0.1450045396824038]]","[0.8831958770751953, 0.9167123436927795, 0.9349986910820007]"
99,0.8701137900352478,Solve_Succeeded,MPC,30,"[[0.2279927157964964, -0.05315353940020249], [-0.18202231621774495, 0.3198879529648685], [-0.0015071444425389646, 0.1571998102153092]]","[0.8646664619445801, 0.9026865363121033, 0.9367896914482117]"
100,0.924628496170044,Solved_To_Acceptable_Level,MPC,12,"[[-0.042722792280881966, -0.012207108141876054], [-0.10101869083533993, 0.3391873786684267], [0.0009327160029855394, 0.16497899594799476]]","[0.915828287601471, 0.9473356008529663, 0.9565913081169128]"
101,0.9563267230987549,Solve_Succeeded,MPC,13,"[[-0.11795433977162513, 0.4422571754091263], [0.00026252893247540585, 0.2840027674805013], [0.0036632604037014015, 0.13636014717605513]]","[0.9710483551025391, 0.9699488878250122, 0.9692327976226807]"
102,0.9501211643218994,fail: Infeasible_Problem_Detected,SAFE_QP,24,"[-0.06788866539316556, 0.7188126048935031]",[-0.0586121492087841]
103,0.9596607685089111,Solve_Succeeded,MPC,17,"[[0.09550791204482836, 0.25898162732036534], [0.005578510225131385, 0.15735892415869623], [0.0035464476377767727, 0.06937942729257544]]","[0.9591799974441528, 0.9583894610404968, 0.956538736820221]"
104,0.9603548645973206,Solved_To_Acceptable_Level,MPC,12,"[[0.0307661156449688, 0.19727296222608814], [0.003049969720222049, 0.11704962410346612], [0.003287766754574703, 0.051353817077346806]]","[0.9563254714012146, 0.9544584155082703, 0.9529997706413269]"
105,0.956763744354248,Solve_Succeeded,MPC,10,"[[0.000745126422357794, 0.16191271173012028], [0.0032573195875788322, 0.09414283911109105], [0.0035388206862647657, 0.03879039445303637]]","[0.9515538215637207, 0.9515733122825623, 0.9490159749984741]"
106,0.9583700895309448,Solve_Succeeded,MPC,13,"[[0.002066007202931343, 0.14277151880958638], [0.0032395593556934056, 0.08217055368505795], [0.003580866891611406, 0.034213672644332095]]","[0.9538398385047913, 0.9527909755706787, 0.9514632821083069]"
107,0.9557584524154663,Solved_To_Acceptable_Level,MPC,12,"[[0.010662987147902777, 0.12965372357045896], [0.0036506601053033615, 0.07531353376534115], [0.003458738847068125, 0.024898293467622366]]","[0.9522356986999512, 0.9528171420097351, 0.9512477517127991]"
108,0.95621258020401,Solve_Succeeded,MPC,25,"[[0.016506645284633484, 0.1113732106581348], [0.0036186432140413874, 0.06329443391292455], [0.00359805835170721, 0.027049147797791342]]","[0.9542990326881409, 0.9535863399505615, 0.9527896642684937]"
109,0.9549465179443359,Solved_To_Acceptable_Level,MPC,16,"[[0.01802783481600689, 0.09208848365129442], [0.0034532675711101456, 0.05224810519688248], [0.003725119579492898, 0.019239945082071132]]","[0.9536388516426086, 0.9539079070091248, 0.9527883529663086]"
110,0.9525497555732727,Solve_Succeeded,MPC,17,"[[0.017583054190900782, 0.06820596691476882], [0.003651004977716504, 0.036636744637270346], [0.0036142553917012468, 0.014628911732855979]]","[0.9531306624412537, 0.9529739618301392, 0.9526547789573669]"
111,0.9537424445152283,Solve_Succeeded,MPC,13,"[[0.017167146665322198, 0.04446089313472259], [0.0036749109873227444, 0.021770704433431733], [0.0036365716410400213, 0.005154203103155683]]","[0.9537407159805298, 0.9536800384521484, 0.9535253047943115]"
