step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
71,0.9915722012519836,Restoration_Failed_FeasibleRestored,MPC,46,"[[0.22042309972349772, -0.0305245001146716], [-0.2901243782501628, 0.26748787353299797], [-0.25252549199444, 0.4565448841621022]]","[0.9772154688835144, 0.9611716270446777, 0.950873076915741]"
72,0.9876255393028259,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[-1.0000000000022076, 1.000000000000696]",[0.9919382333755493]
73,0.9709975719451904,Maximum_Iterations_Exceeded_FeasibleRestored,MPC,100,"[[0.6943762712972242, -0.220636977095106], [-0.17958995481536652, 0.23084499086158622], [-0.09925167140007228, 0.164767300032388]]","[0.9478444457054138, 0.9251471757888794, 0.9086616039276123]"
74,0.963557243347168,fail: Maximum_Iterations_Exceeded,SAFE_QP,100,"[-1.0000000000006208, 1.000000000001273]",[0.9915523529052734]
75,0.9582132697105408,Solved_To_Acceptable_Level,MPC,21,"[[0.6101248143250443, -0.2961745706457805], [0.2085380221168745, -0.18695105441389437], [0.012962442752697308, -0.0897275232798746]]","[0.9562763571739197, 0.9462372660636902, 0.9246890544891357]"
76,0.9533812999725342,Solved_To_Acceptable_Level,MPC,12,"[[0.24085354618934207, -0.15322933741777497], [-0.02233848444734363, 0.11653254930644374], [-0.01934397268449551, 0.0029163693663400237]]","[0.9217501282691956, 0.89015793800354, 0.8568362593650818]"
77,0.9441424012184143,Solve_Succeeded,MPC,20,"[[-0.1648200584328028, -0.17499486957574437], [-0.013135697614337445, -0.10777512494497107], [-0.004144504822672312, -0.04968895099190479]]","[0.8786934614181519, 0.873345673084259, 0.8990969657897949]"
78,0.9362130761146545,Solved_To_Acceptable_Level,MPC,21,"[[-0.11053014476773906, -0.12304885849736005], [-0.009587394021857563, -0.08028111828484548], [-0.003830699771165001, -0.028776792257013278]]","[0.8101205825805664, 0.8465567827224731, 0.8995805978775024]"
79,0.9429478049278259,Solved_To_Acceptable_Level,MPC,5,"[[0.04063412322565727, -0.0894024796329478], [-0.0007081634628842246, -0.04472176980013476], [-0.004928720637672701, -0.014332819417248127]]","[0.8284231424331665, 0.8657845258712769, 0.9080037474632263]"
80,0.9521588087081909,Solve_Succeeded,MPC,12,"[[0.11201976178691771, -0.10587920821040939], [0.005842896612114172, -0.0631522318551267], [-0.0034876070529452903, -0.02884875752017167]]","[0.8630258440971375, 0.8829166293144226, 0.9083673357963562]"
81,0.9570438265800476,Solved_To_Acceptable_Level,MPC,9,"[[0.11673128556857018, -0.11235741312351595], [0.005241065042921478, -0.06623115331753432], [-0.0026507136838780057, -0.028173529235186123]]","[0.8860282897949219, 0.8898820281028748, 0.903961718082428]"
82,0.9606413245201111,Solve_Succeeded,MPC,10,"[[0.08464454760377194, -0.13237130858301743], [0.003050048964983945, -0.07982751404132611], [-0.0030361443617507827, -0.036463116732280754]]","[0.9112900495529175, 0.9242264628410339, 0.9365319013595581]"
83,0.9647197127342224,Solve_Succeeded,MPC,8,"[[0.05391607839940839, -0.13606130982228654], [0.0009391575237005473, -0.08178665705318931], [-0.0035698604671747154, -0.03700295225320393]]","[0.9399099946022034, 0.9516038298606873, 0.9614458680152893]"
84,0.9681349992752075,Solved_To_Acceptable_Level,MPC,5,"[[0.02931886207148285, -0.12843180203181626], [0.0020021540069363277, -0.0763903656843284], [-0.0016783433854221828, -0.03475573334551512]]","[0.9515904188156128, 0.9572950601577759, 0.9652901887893677]"
85,0.9718313217163086,Solve_Succeeded,MPC,7,"[[0.018732512305665732, -0.11561462345171203], [-0.002406276651153684, -0.06869905717397205], [-0.0034501320481710356, -0.031178688130527727]]","[0.9534366726875305, 0.9593349099159241, 0.9691259264945984]"
86,0.9736480712890625,Solve_Succeeded,MPC,6,"[[0.006091649390852868, -0.09747417251875919], [-0.003107471679287496, -0.057146197785149365], [-0.0038729206457529986, -0.026329888793261685]]","[0.9590840339660645, 0.9666048884391785, 0.9768584370613098]"
87,0.9761177897453308,Solve_Succeeded,MPC,8,"[[-0.002783365332184982, -0.07895089291832813], [-0.004303636550952201, -0.0457233711143556], [-0.0036452367995872324, -0.01956052613082667]]","[0.9691948890686035, 0.9783871173858643, 0.9843024015426636]"
